TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | Painted dog species | species:canid
skin-covered_horns | Skin-covered horns | head:general
skin_fang | Skin fang | head:mouth
skin_fangs | Skin fangs | head:mouth
skin_tight | Skin-tight clothing | clothing:general
skindentation | Visible indentation where tight clothing or grip presses into soft skin, the flesh bulging above and below. | body_type
skinny_anthro | An anthro character with thin build, narrow frame and minimal muscle mass. | species:other
skinny_female | Female character with thin build, narrow waist and hips, minimal muscle or body mass. | body_type
skinny_male | Male character with thin build, narrow shoulders and hips, minimal muscle mass. | body_type
skinsuit | Skinsuit | clothing:general
skulldog_(species) | The Skulldog fantasy species, canines with skull-shaped masks over their faces. | species:other
skunk_tail | Skunk-style tail | anatomy:tail
sleeveless_clothing | Sleeveless clothing | clothing:general
sleeveless_coat | Sleeveless coat | coat:colour
sleeveless_sweater | Sleeveless sweater | clothing:general
slightly_chubby_anthro | An anthro character with a softly padded build, slightly chubby rather than heavy. | species:other
slightly_chubby_humanoid | A humanoid character with a softly padded build, slightly chubby rather than heavy. | species:other
slim_anthro | An anthro character with a lean streamlined build, fit but narrow-framed. | species:other
slimefur | Slime-textured fur | coat:texture
slit_penis | A penis that retracts into a genital slit when not erect. | genitalia:male
small_dragon | A miniature-scale dragon character, size small enough to perch or fit in hand. | species:mythical
small_feet | Small feet | anatomy:limbs
small_horn | Small horn | head:general
small_horns | Small horns | head:general
small_nipples | Small nipples | anatomy:torso
small_tail | Small tail | anatomy:tail
small_wings | Wings rendered proportionally small against the body, unfit for flight but visible. | anatomy:fantasy
smaller_anthro | An anthro character who is the smaller of a scale-paired setup. | species:other
smaller_feral | A feral character who is the smaller of a scale-paired setup. | species:other
smaller_human | A human character who is the smaller of a scale-paired setup. | species:other
smaller_humanoid | A humanoid character who is the smaller of a scale-paired setup. | species:other
smelly_butt | Smelly butt | anatomy:rear
smooth_horn | Smooth horn | head:general
smooth_skin | Smooth skin | coat:colour
snake_tail | Snake-style tail | anatomy:tail
snow_leopard_tail | Snow_leopard-style tail | anatomy:tail
soft_abs | Soft abs | anatomy:torso
space_dragon_(metroid) | A space-dragon enemy from the Metroid franchise, scene drawing on its design. | species:mythical
spandex_shorts | Spandex shorts | clothing:general
sparklefur | Sparklefur | coat:texture
sparse_chest_hair | Sparse chest hair | hair:colour
species_request | Species request | clothing:general
spiked_cock_ring | Spiked cock ring | clothing:general
spiked_penis | A penis with spikes along the shaft, fantasy or monstrous anatomy. | genitalia:male
spiked_tail | Spiked tail | anatomy:tail
split-color_hair | Split-color hair | hair:colour
split_ponytail | Split ponytail | hair:style
spotted_arms | Spotted arms | anatomy:limbs
spotted_body | Spotted body | anatomy:general
spotted_clothing | Spotted clothing | clothing:general
spotted_face | Spotted face | coat:pattern
spotted_legs | Spotted legs | anatomy:limbs
spotted_scales | Spotted scales | coat:colour
spotted_shoulders | Spotted shoulders | anatomy:torso
spotted_skin | Spotted skin | coat:colour
spotted_tail | Spotted tail | anatomy:tail
spread_ass | Spread ass | anatomy:rear
spread_vulva | A vulva held open with fingers, labia pulled apart to reveal the interior. | genitalia:female
spyro_the_dragon | Reference to the Spyro the Dragon game series, the purple-dragon protagonist. | species:mythical
squirrel_tail | Squirrel-style tail | anatomy:tail
starfish_(accessory) | Starfish (accessory) | clothing:general
starfish_hair_ornament | Starfish hair ornament | clothing:general
strap_between_breasts | Strap between breasts | anatomy:torso
strapless_clothing | Strapless clothing | clothing:general
stretched_vagina | A vagina stretched by large insertion, the entrance visibly widened. | genitalia:female
striped_arm_warmers | Striped arm warmers | coat:pattern
striped_arms | Striped arms | anatomy:limbs
striped_armwear | Striped armwear | coat:pattern
striped_background | Striped background | coat:pattern
striped_bikini | Striped bikini | clothing:general
striped_body | Striped body | anatomy:general
striped_bottomwear | Striped bottomwear | coat:pattern
striped_bowtie | Striped bowtie | clothing:general
striped_bra | Striped bra | clothing:general
striped_clothes | Striped clothes | clothing:general
striped_clothing | Striped clothing | clothing:general
striped_coat | Striped coat | coat:colour
striped_dress | Striped dress | clothing:general
striped_ears | Striped ears | head:ears
striped_face | Striped face | coat:pattern
striped_footwear | Striped footwear | coat:pattern
striped_fur | Striped fur | coat:colour
striped_genitalia | Striped genitalia | coat:pattern
striped_gloves | Striped gloves | clothing:general
striped_hair | Striped hair | hair:colour
striped_hairband | Striped hairband | hair:style
striped_hat | Striped hat | clothing:general
striped_headwear | Striped headwear | coat:pattern
striped_hoodie | Striped hoodie | clothing:general
striped_horn | Striped horn | head:general
striped_horns | Striped horns | head:general
striped_jacket | Striped jacket | clothing:general
striped_kimono | Striped kimono | clothing:general
striped_leg_warmers | Striped leg warmers | coat:pattern
striped_legs | Striped legs | anatomy:limbs
striped_legwear | Striped legwear | coat:pattern
striped_necktie | Striped necktie | clothing:general
striped_one-piece_swimsuit | Striped one-piece swimsuit | clothing:general
striped_pajamas | Striped pajamas | clothing:general
striped_panties | Striped panties | clothing:general
striped_pants | Striped pants | clothing:general
striped_pantyhose | Striped pantyhose | coat:pattern
striped_penis | A penis with visible stripes running along its length. | genitalia:male
striped_ribbon | Striped ribbon | coat:pattern
striped_scales | Striped scales | coat:colour
striped_scarf | Striped scarf | clothing:general
striped_shirt | Striped shirt | clothing:general
striped_shorts | Striped shorts | clothing:general
striped_skin | Striped skin | coat:colour
striped_skirt | Striped skirt | clothing:general
striped_skunk | The striped skunk subspecies specifically, single white stripe down the black body. | species:other
striped_sleeves | Striped sleeves | coat:pattern
striped_socks | Striped socks | clothing:general
striped_stockings | Striped stockings | clothing:general
striped_sweater | Striped sweater | clothing:general
striped_swimwear | Striped swimwear | coat:pattern
striped_thigh_highs | Striped thigh highs | coat:pattern
striped_thigh_socks | Striped thigh socks | clothing:general
striped_thighhighs | Striped thighhighs | clothing:general
striped_topwear | Striped topwear | coat:pattern
striped_underwear | Striped underwear | clothing:general
striped_vest | Striped vest | clothing:general
stuffed_winged_unicorn | A plush stuffed winged-unicorn toy, either prop or focus of the scene. | species:mythical
sunglasses_on_head | Sunglasses on head | clothing:general
sunglasses_only | Sunglasses only | clothing:general
super_robot | A super robot from the mecha anime genre, piloted giant robot of the 1970s-onward tradition. | species:other
super_robot_wars | Reference to the Super Robot Wars game franchise, crossover mecha series. | species:other
super_robot_wars_original_generation | Reference to the original generation entries in the Super Robot Wars franchise. | species:other
supernumerary_breasts | Supernumerary breasts | anatomy:torso
surcoat | Surcoat | clothing:general
suspender_shorts | Suspender shorts | clothing:general
sweat_stain | Sweat stain | anatomy:general
sweatband | Sweatband | clothing:general
sweater | Sweater | clothing:general
sweater_around_waist | Sweater around waist | clothing:general
sweater_dress | Sweater dress | clothing:general
sweater_only | Sweater only | clothing:general
sweater_tucked_in | Sweater tucked in | clothing:general
sweater_vest | Sweater vest | clothing:general
sweatpants | Sweatpants | clothing:general
sweatshirt | Sweatshirt | clothing:general
sweaty_anus | Sweaty anus | anatomy:rear
sweaty_armpit | Sweaty armpit | anatomy:general
sweaty_armpits | Sweaty armpits | anatomy:general
sweaty_arms | Sweaty arms | anatomy:limbs
sweaty_balls | Testicles wet with perspiration, sweat-beaded sack from heat or exertion. | genitalia:male
sweaty_belly | Sweaty belly | anatomy:torso
sweaty_body | Sweaty body | anatomy:general
sweaty_breasts | Sweaty breasts | anatomy:torso
sweaty_butt | Sweaty butt | anatomy:rear
sweaty_clothes | Sweaty clothes | clothing:general
sweaty_face | Sweaty face | anatomy:general
sweaty_feet | Sweaty feet | anatomy:limbs
sweaty_genitalia | Sweaty genitalia | anatomy:general
sweaty_legs | Sweaty legs | anatomy:limbs
sweaty_penis | A penis wet with perspiration, sweat-beaded shaft from heat or exertion. | genitalia:male
sweaty_thighs | Sweaty thighs | anatomy:general
tail_accessory | Tail accessory | anatomy:tail
tail_anus | Tail anus | anatomy:rear
tail_around_leg | Tail around leg | anatomy:limbs
tail_around_own_leg | Tail around own leg | anatomy:limbs
tail_around_partner | Tail around partner | anatomy:tail
tail_around_penis | A tail wrapped around a penis, the soft wrap either decorative or stimulation. | genitalia:male
tail_aside | Tail aside | anatomy:tail
tail_bell | Tail bell | anatomy:tail
tail_between_legs | Tail between legs | anatomy:limbs
tail_blade | Tail blade | anatomy:tail
tail_censorship | Tail censorship | anatomy:tail
tail_clothing | Tail clothing | clothing:general
tail_feathers | Tail feathers | coat:colour
tail_fin | A fin at the end of the tail, aquatic or fantasy anatomy giving the tail propulsion. | anatomy:fantasy
tail_genitals | Tail genitals | anatomy:tail
tail_gesture | Tail gesture | anatomy:tail
tail_heart | Tail heart | anatomy:tail
tail_in_vagina | A tail inserted into a vagina, used as a penetrating tool. | genitalia:female
tail_jewelry | Tail jewelry | anatomy:tail
tail_mane | Tail mane | hair:style
tail_motion | Tail motion | anatomy:tail
tail_ornament | Tail ornament | anatomy:tail
tail_penis | A tail that ends in or doubles as a penis, fantasy anatomy. | genitalia:male
tail_piercing | Tail piercing | clothing:general
tail_play | Tail play | anatomy:tail
tail_pull | Tail pull | anatomy:tail
tail_raised | Tail raised | anatomy:tail
tail_ribbon | Tail ribbon | anatomy:tail
tail_ring | Tail ring | clothing:general
tail_spines | Tail spines | anatomy:tail
tail_through_clothes | Tail through clothes | clothing:general
tail_through_skirt | Tail through skirt | clothing:general
tail_tied | Tail tied | anatomy:tail
tail_under_skirt | Tail under skirt | clothing:general
tail_wrap | Tail wrap | anatomy:tail
tail_wraps | Tail wraps | anatomy:tail
tailband | Band worn around tail | anatomy:tail
tailbutt | Tail-and-butt area | anatomy:rear
tailcoat | Tailcoat | clothing:general
tailed_humanoid | A humanoid character with a tail, the tail the only non-human feature or one of few. | species:other
tailless | Character without a tail | anatomy:tail
talking_feral | A feral character who speaks in the scene, animal body but language ability. | species:other
tall_female | Female character notably taller than average, often paired with longer limbs and a dominant stature. | body_type
tan_balls | Testicles rendered in tan, the colour the noted variant. | genitalia:male
tan_breasts | Tan-coloured breasts | anatomy:torso
tan_chest | Tan-coloured chest | anatomy:torso
tan_clothing | Tan-coloured clothing | clothing:general
tan_feathers | Tan-coloured feathers | coat:colour
tan_horn | Tan-coloured horn | head:general
tan_nipples | Tan-coloured nipples | anatomy:torso
tan_penis | A penis rendered in tan, the colour the noted variant. | genitalia:male
tan_scales | Tan-coloured scales | coat:colour
tan_sheath | A genital sheath rendered in tan, the colour the noted variant. | genitalia:male
tan_skin | Tan-coloured skin | coat:colour
tan_tail | Tan-coloured tail | anatomy:tail
tan_tail_tip | Tan-coloured tail tip | anatomy:tail
tan_vulva | A vulva rendered in tan, the colour the noted variant. | genitalia:female
tapering_tail | Tapering tail | anatomy:tail
tapir_tail | Tapir-style tail | anatomy:tail
tassel | Tassel | clothing:general
tassel_earrings | Tassel earrings | clothing:general
tassel_hair_ornament | Tassel hair ornament | clothing:general
tassels | Tassels | clothing:general
teal_clothing | Teal-coloured clothing | clothing:general
tearing_clothing | Tearing clothing | clothing:general
teeth_hold | Teeth hold | head:mouth
teeth_showing | Teeth showing | head:mouth
testicle_cuff | A cuff fastened around testicles, restraint focused on the sack. | genitalia:male
testicle_grab | A hand gripping testicles, squeezing or holding the sack. | genitalia:male
text_on_clothing | Text on clothing | clothing:general
these_aren't_my_glasses | These aren't my glasses | clothing:general
thick_chest_hair | Thick chest hair | hair:colour
thigh_belt | Thigh belt | clothing:general
thigh_boots | Thigh boots | clothing:general
thigh_cutout | Thigh cutout | anatomy:limbs
thigh_focus | Thigh focus | anatomy:limbs
thigh_gap | Thigh gap | anatomy:limbs
thigh_highs_only | Thigh highs only | anatomy:limbs
thigh_holster | Thigh holster | anatomy:limbs
thigh_pouch | Thigh pouch | anatomy:limbs
thigh_ribbon | Thigh ribbon | anatomy:limbs
thigh_socks | Thigh socks | clothing:general
thigh_squish | Thigh squish | anatomy:limbs
thigh_strap | Thigh strap | anatomy:limbs
thigh_tattoo | Thigh tattoo | anatomy:limbs
thigh_tuft | Thigh tuft | anatomy:limbs
thighband | Thighband | clothing:general
thighband_pantyhose | Thighband pantyhose | clothing:general
thighhighs | Thighhighs | clothing:general
thighhighs_over_pantyhose | Thighhighs over pantyhose | clothing:general
thighhighs_pull | Thighhighs pull | clothing:general
thighhighs_under_boots | Thighhighs under boots | clothing:general
thighlet | Thighlet | clothing:general
thighs | Thighs visible/emphasised | anatomy:limbs
thin_calves | Calves rendered with narrow width, visibly slender rather than thick or muscular. | body_type
thin_eyebrows | Thin eyebrows | head:face
thin_legs | Thin legs | anatomy:limbs
thin_thighs | Thighs rendered with narrow width, emphasising slenderness of the legs. | body_type
thorns | Sharp protrusions like plant thorns growing from the body, fantasy anatomy. | anatomy:fantasy
threaded_by_penis | A penis threaded through a character's body, entering one orifice and exiting another. | genitalia:male
throbbing_balls | Testicles visibly pulsing or pulsing against the body, the rhythm the tell. | genitalia:male
throbbing_penis | A pulsating penis indicating intense arousal, rhythmic swell and ease. | genitalia:male
tiger_tail | Tiger-style tail | anatomy:tail
tight_clothing | Tight clothing | clothing:general
tight_foreskin | A foreskin tight against the glans, pulled snug rather than loose. | genitalia:male
tight_shorts | Tight shorts | clothing:general
toeless_thigh_highs | Toeless thigh highs | clothing:general
tongue_on_penis | A tongue dragged across or along a penis, oral contact focused on the shaft. | genitalia:male
tongue_showing | Tongue showing | head:mouth
topknot | Topknot hairstyle | hair:style
topless_anthro | Topless anthro | clothing:general
torn_clothing | Torn clothing | clothing:general
torn_coat | Torn coat | coat:colour
torn_shorts | Torn shorts | clothing:general
torn_thighhighs | Torn thighhighs | clothing:general
torn_wings | Wings damaged, ripped, or holed, flight feathers missing or membrane torn. | anatomy:fantasy
touching_penis | A character's hand making contact with a penis, own or partner's. | genitalia:male
translucent_body | Translucent body | anatomy:general
translucent_bunnysuit | Translucent bunnysuit | clothing:general
translucent_clothing | Translucent clothing | clothing:general
translucent_hair | Translucent hair | hair:colour
translucent_shirt | Translucent shirt | clothing:general
translucent_underwear | Translucent underwear | clothing:general
translucent_wings | Wings you can partially see through, semi-transparent insect or fantasy form. | anatomy:fantasy
transparent_wings | Wings rendered fully see-through transparent, light passing through unimpeded as insect or fantasy form. | anatomy:fantasy
treasure_chest | Treasure chest | anatomy:torso
tree_horns | Tree horns | head:general
trench_coat | Trench coat | coat:colour
trenchcoat | Trenchcoat | clothing:general
tri_tails | Tri tails | anatomy:tail
tribal_clothing | Tribal clothing | clothing:general
tropical_fish | Tropical fish (species-related) | species:fish
tucked_penis | A penis tucked back between the legs, hidden rather than presented. | genitalia:male
tufted_fur | Tufted fur | coat:colour
turtleneck_sweater | Turtleneck sweater | clothing:general
twintails_(hairstyle) | Twintails (hairstyle) | hair:style
twintails_with_hair_base | Twintails with hair base | hair:style
twitching_penis | A penis moving involuntarily, small pulses visible along the shaft. | genitalia:male
two-sided_coat | Two-sided coat | coat:colour
two-tone_coat | Two-tone-coloured coat | coat:colour
two-tone_fur | Two-tone-coloured fur | coat:colour
two-tone_horns | Two-tone-coloured horns | head:general
two-tone_shorts | Two-tone-coloured shorts | clothing:general
two-tone_skin | Two-tone-coloured skin | coat:colour
two-tone_sweater | Two-tone-coloured sweater | clothing:general
two-tone_tail | Two-tone-coloured tail | anatomy:tail
two-tone_thighhighs | Two-tone-coloured thighhighs | clothing:general
two-tone_wings | Wings rendered in two distinct colours or tones, split or blocked. | anatomy:fantasy
two_tails | Two tails | anatomy:tail
two_tone_clothing | Two tone clothing | clothing:general
two_tone_feathers | Two tone feathers | coat:colour
two_tone_horn | Two tone horn | head:general
two_tone_penis | A penis rendered in two distinct colours, split or banded pattern. | genitalia:male
two_tone_scales | Two tone scales | coat:colour
two_tone_skin | Two tone skin | coat:colour
two_tone_tail | Two tone tail | anatomy:tail
two_tone_thigh_highs | Two tone thigh highs | clothing:general
two_tone_vulva | A vulva rendered in two distinct colours, split or banded pattern. | genitalia:female
two_tone_wings | Wings rendered in two distinct colours or tones, split or blocked. | anatomy:fantasy
unaligned_breasts | Unaligned breasts | anatomy:torso
unbuttoned | Unbuttoned | clothing:general
unbuttoned_shirt | Unbuttoned shirt | clothing:general
underbutt | Lower curve of buttocks | anatomy:rear
uneven_balls | Testicles asymmetric in size, one visibly larger than the other. | genitalia:male
uneven_horns | Uneven horns | head:general
uneven_twintails | Uneven twintails | hair:style
unicorn_horn | Unicorn-style horn | head:general
unknown_species | A character of unknown or unidentified species, deliberate taxonomy ambiguity. | species:other
unsheathed | A penis emerged from its sheath, no longer retracted. | genitalia:male
unsheathing | A penis in the motion of emerging from its sheath, partial extension. | genitalia:male
unusual_cum | Ejaculate with unusual properties, colour, texture, or consistency outside the norm. | genitalia:male
unusual_tail | Unusual tail | anatomy:tail
unusual_wings | Wings of atypical style, material, or placement, general tag for distinctive wing anatomy. | anatomy:fantasy
unworn_coat | Unworn coat | coat:colour
unworn_eyepatch | Unworn eyepatch | clothing:general
unworn_shorts | Unworn shorts | clothing:general
upshorts | Upshorts | clothing:general
urine_on_chest | Urine on chest | anatomy:torso
veiny_balls | Testicles with prominent surface veins running across the sack. | genitalia:male
veiny_breasts | Veiny breasts | anatomy:torso
veiny_knot | A canine-style knot with prominent veins across its surface. | genitalia:male
veiny_muscles | Muscles with prominent surface veins running across them, the vascularity central to the visual. | body_type
ventral_scales | Ventral scales | coat:colour
vertical-striped_background | Vertical-striped background | coat:pattern
vertical-striped_bikini | Vertical-striped bikini | clothing:general
vertical-striped_clothes | Vertical-striped clothes | clothing:general
vertical-striped_dress | Vertical-striped dress | clothing:general
vertical-striped_headwear | Vertical-striped headwear | coat:pattern
vertical-striped_jacket | Vertical-striped jacket | clothing:general
vertical-striped_kimono | Vertical-striped kimono | clothing:general
vertical-striped_panties | Vertical-striped panties | clothing:general
vertical-striped_pants | Vertical-striped pants | clothing:general
vertical-striped_pantyhose | Vertical-striped pantyhose | coat:pattern
vertical-striped_shirt | Vertical-striped shirt | clothing:general
vertical-striped_shorts | Vertical-striped shorts | clothing:general
vertical-striped_skirt | Vertical-striped skirt | clothing:general
vertical-striped_sleeves | Vertical-striped sleeves | coat:pattern
vertical-striped_socks | Vertical-striped socks | clothing:general
vertical-striped_thighhighs | Vertical-striped thighhighs | clothing:general
vertical-striped_vest | Vertical-striped vest | clothing:general
vertical_cloaca | Vertical cloaca | anatomy:general
very_dark_skin | Very dark skin | coat:colour
very_long_tail | Very long tail | anatomy:tail
very_short_hair | Very short hair | hair:colour
vessel_(species) | A Vessel from Hollow Knight, the carapace-wearing void-born species. | species:other
vibrator_in_thighhighs | Vibrator in thighhighs | clothing:general
vibrator_in_vagina | A vibrator currently inserted in a vagina, visible during use. | genitalia:female
vibrator_on_penis | A vibrator held against or attached to a penis for direct stimulation. | genitalia:male
visibly_trans | Character whose transgender status is explicitly signalled in the image, through scars, anatomy, or clear framing. | gender
volleyball_uniform | Volleyball uniform | clothing:general
voluptuous_anthro | An anthro character with curvy full-figured build, soft pronounced proportions on species form. | species:other
vulva_blush | Vulva blush | head:face
vulva_outline | Vulva outline | meta:composition
vulva_piercing | Vulva piercing | clothing:general
vulva_ring | Vulva ring | clothing:general
waistcoat | Waistcoat | clothing:general
weapon_tail | Weapon tail | anatomy:tail
wearing_glasses | Wearing glasses | clothing:general
wearing_sunglasses | Wearing sunglasses | clothing:general
weasel_tail | Weasel-style tail | anatomy:tail
wet_clothing | Wet clothing | clothing:general
wet_penis | A penis wet with fluid, sweat, saliva, or other liquid. | genitalia:male
whisker_spots | Whisker spots | coat:pattern
white-tailed_deer | White-tailed deer (species-related) | species:cervid
white_balls | Testicles rendered in white, the colour the noted variant. | genitalia:male
white_breasts | White-coloured breasts | anatomy:torso
white_butt | White-coloured butt | anatomy:rear
white_butterfly | White butterfly (species-related) | species:insect
white_chest | White-coloured chest | anatomy:torso
white_claws | White-coloured claws | anatomy:limbs
white_clothing | White-coloured clothing | clothing:general
white_coat | White-coloured coat | coat:colour
white_horn | White-coloured horn | head:general
white_horns | White-coloured horns | head:general
white_nipples | White-coloured nipples | anatomy:torso
white_pawpads | White-coloured pawpads | anatomy:limbs
white_paws | White-coloured paws | anatomy:limbs
white_penis | A penis rendered in white, the colour the noted variant. | genitalia:male
white_sheath | A genital sheath rendered in white, the colour the noted variant. | genitalia:male
white_shorts | White-coloured shorts | clothing:general
white_skin | White-coloured skin | coat:colour
white_spots | White-coloured spots | coat:pattern
white_stripes | White-coloured stripes | coat:pattern
white_sweater | White-coloured sweater | clothing:general
white_tail | White-coloured tail | anatomy:tail
white_tail_tip | White-coloured tail tip | anatomy:tail
white_thigh_highs | White-coloured thigh highs | clothing:general
white_thighhighs | White-coloured thighhighs | clothing:general
white_vulva | A vulva rendered in white, the colour the noted variant. | genitalia:female
white_wings | Wings coloured white, the feather or membrane rendered in pale tone. | anatomy:fantasy
wickerbeast | A fantasy species of horned canine-derived creature originating in the furry fandom. | species:mythical
wide_hipped_anthro | An anthro character with broad feminine hips on the species body. | species:other
wide_hipped_female | Female character with broad hips giving dramatic waist-to-hip ratio, body built around the hip line. | body_type
wide_hipped_gynomorph | Gynomorph character with broad feminine hips offsetting otherwise intersex anatomy. | body_type
wide_hipped_humanoid | A humanoid character with broad feminine hips on the humanoid body. | species:other
wide_hipped_male | Male character with broad, feminine-proportioned hips offsetting otherwise masculine build. | body_type
wide_ponytail | Wide ponytail | hair:style
wing_boner | Wings erected or puffed up due to arousal, the involuntary reaction as the furry equivalent of a blush. | anatomy:fantasy
wing_brooch | A brooch or pin shaped like a wing worn as accessory. | anatomy:fantasy
wing_claws | Wing claws | anatomy:limbs
wing_ears | Wing ears | head:ears
wing_hair_ornament | A hair ornament shaped like a wing, feather-styled accessory in the hair. | anatomy:fantasy
wing_ornament | A decorative ornament shaped like a wing attached to clothing or accessory. | anatomy:fantasy
wing_piercing | Wing piercing | clothing:general
winged_dragon | A dragon specifically with wings, the winged variant rather than serpentine form. | species:mythical
winged_hat | Winged hat | clothing:general
winged_helmet | Winged helmet | clothing:general
winged_humanoid | A humanoid character with wings, the wings the only non-human feature or one of few. | species:other
winged_shoes | Winged shoes | clothing:general
winged_unicorn | A unicorn with wings, alicorn-style combining the two fantasy equines. | species:mythical
wingless_dragon | A dragon specifically without wings, ground-bound or serpentine variant. | species:mythical
wings_of_fire | Reference to the Wings of Fire book series or literal wings made of fire. | anatomy:fantasy
wings_tied | Wings bound together or to the body, restraint preventing their movement or flight. | anatomy:fantasy
wolf_tail | Wolf-style tail | anatomy:tail
wool_(fur) | Wool-like fur | coat:texture
workout_clothing | Workout clothing | clothing:general
wrinkled_skin | Wrinkled skin | coat:colour
writing_on_butt | Writing on butt | anatomy:rear
writing_on_chest | Writing on chest | anatomy:torso
year_of_the_dragon | Reference to Spyro Year of the Dragon game or the zodiac Year of the Dragon. | species:mythical
yellow_balls | Testicles rendered in yellow, the colour the noted variant. | genitalia:male
yellow_breasts | Yellow-coloured breasts | anatomy:torso
yellow_butterfly | Yellow butterfly (species-related) | species:insect
yellow_claws | Yellow-coloured claws | anatomy:limbs
yellow_clothing | Yellow-coloured clothing | clothing:general
yellow_coat | Yellow-coloured coat | coat:colour
yellow_feathers | Yellow-coloured feathers | coat:colour
yellow_horn | Yellow-coloured horn | head:general
yellow_horns | Yellow-coloured horns | head:general
yellow_nipples | Yellow-coloured nipples | anatomy:torso
yellow_pawpads | Yellow-coloured pawpads | anatomy:limbs
yellow_penis | A penis rendered in yellow, the colour the noted variant. | genitalia:male
yellow_raincoat | Yellow raincoat | clothing:general
yellow_scales | Yellow-coloured scales | coat:colour
yellow_shorts | Yellow-coloured shorts | clothing:general
yellow_skin | Yellow-coloured skin | coat:colour
yellow_stripes | Yellow-coloured stripes | coat:pattern
yellow_sweater | Yellow-coloured sweater | clothing:general
yellow_sweater_vest | Yellow sweater vest | clothing:general
yellow_tail | Yellow-coloured tail | anatomy:tail
yellow_thighhighs | Yellow-coloured thighhighs | clothing:general
yellow_vulva | A vulva rendered in yellow, the colour the noted variant. | genitalia:female
yellow_wings | Wings coloured yellow, the feather or membrane rendered in yellow tone. | anatomy:fantasy
young_anthro | A young-age anthro character, youth on the species form central to framing. | species:other
young_feral | A young-age feral character, youth on the quadruped form central to framing. | species:other
young_human | A young-age human character, youth on the human form central to framing. | species:other
young_humanoid | A young-age humanoid character, youth on the human-shaped body central to framing. | species:other
younger_anthro | An anthro character who is the younger of an age-paired setup. | species:other
younger_feral | A feral character who is the younger of an age-paired setup. | species:other


================================================================================
MOVED FROM OTHER FILES - 2026-04-15
================================================================================
# Tags reclassified from other tag databases during 2026-04-15 rewrite.
# Merge into the appropriate sections above when convenient.

adolescent | Teenage-range character between child and adult, still developing build and features. | age
adolescent_anthro | An anthro character at adolescent age, teen proportions on the species form. | species:other
anal_hair | Anal hair | hair:colour
anal_tail | Anal tail | anatomy:tail
animal_ear_fluff | Animal-style ear fluff | head:ears
arthropod_abdomen | Arthropod abdomen (species-related) | species:insect
arthropod_abdomen_genitalia | Arthropod abdomen genitalia (species-related) | species:insect
back_tentacles | Tentacles growing from the back of a character, additional limbs mounted to the spine. | anatomy:fantasy
backless_outfit | Outfit exposing the back | clothing:general
bag_charm | Bag charm | clothing:general
bandeau | Bandeau | clothing:general
bare_pectorals | Bare pectoral muscles | anatomy:torso
bc_freedom_military_uniform | Bc freedom military uniform | clothing:general
black_bandeau | Black-coloured bandeau | clothing:general
black_coat_(kingdom_hearts) | Black coat (kingdom hearts) | clothing:general
black_collar | Black-coloured collar | clothing:general
black_facial_hair | Black facial hair | hair:colour
black_sailor_collar | Black sailor collar | clothing:general
blaze_(marking) | Blaze marking on face | coat:pattern
blue_inner_ear_fluff | Blue-coloured inner ear fluff | head:ears
blue_sailor_collar | Blue sailor collar | clothing:general
blue_tentacles | Tentacles coloured blue, tentacle anatomy rendered in blue tone. | anatomy:fantasy
bottomless_intersex | Bottomless intersex | clothing:general
brown_collar | Brown-coloured collar | clothing:general
brown_facial_hair | Brown facial hair | hair:colour
brown_markings | Brown-coloured markings | coat:pattern
brown_sailor_collar | Brown sailor collar | clothing:general
butt_markings | Butt markings | coat:pattern
caressing_testicles | Slow, stroking touch across testicles, tender rather than gripping. | genitalia:male
catfish | Catfish species | species:fish
charmander | The Pokemon species Charmander, small orange bipedal dragon with a flame-tipped tail. | species:other
charmeleon | The Pokemon species Charmeleon, the evolved form of Charmander with a fiercer aspect. | species:other
cheek_markings | Cheek markings | coat:pattern
cheerleader_outfit | Cheerleader outfit | clothing:general
chest_markings | Chest markings | coat:pattern
circle_facial_mark | Circular facial marking | head:face
clitoral_hood_piercing | Clitoral hood piercing | clothing:general
clothed_intersex | Clothed intersex | clothing:general
collar_ring | Collar ring | clothing:general
collar_tug | Collar tug | clothing:general
collared_cape | Collared cape | clothing:general
collared_capelet | Collared capelet | clothing:general
collared_coat | Collared coat | coat:colour
collared_dress | Collared dress | clothing:general
collared_halterneck | Collared halterneck | clothing:general
collared_jacket | Collared jacket | clothing:general
collared_shirt | Collared shirt | clothing:general
collared_shrug | Collared shrug | clothing:general
collared_vest | Collared vest | clothing:general
condom_belt | Condom belt | clothing:general
condom_in_mouth | Condom in mouth | head:face
condom_on_penis | A condom visibly rolled onto a penis during the scene. | genitalia:male
consensual_tentacles | A scene with tentacle involvement where all parties consent, flipping the usual tentacle-rape trope. | anatomy:fantasy
contrast_collar | Contrast collar | clothing:general
covered_collarbone | Collarbone covered | clothing:general
covered_pectorals | Covered pectorals | anatomy:torso
crescent_earrings | Crescent earrings | clothing:general
crescent_facial_mark | Crescent facial marking | head:face
crescent_hair_ornament | Crescent-shaped hair ornament | hair:style
crescent_hat_ornament | Crescent hat ornament | clothing:general
crescent_necklace | Crescent necklace | clothing:general
crescent_pin | Crescent-shaped pin | clothing:general
