TAG DATABASE: KINK & FETISH
========================================
Total tags: 1337
Categories: 7
Last updated: 2026-02-26

================================================================================
BDSM, POWER & CONSENT
================================================================================
aftercare | Emotional/physical care given after intense sexual activity | kink:bdsm
arm_markings | Markings along the arm | kink:body_markings
back_markings | Markings along the back | kink:body_markings
ball_and_chain_restraint | Ball-and-chain restraint | kink:gear
ball_size_difference | Visible testicle size difference | kink:size
balls_expansion | Testicle expansion | kink:inflation
bdsm_gear | Bdsm gear | kink:general
beak_fetish | Beak as a fetish focus | kink:theme
bell_collar | Collar with a bell | kink:gear
belly_markings | Markings along the belly | kink:body_markings
belt_collar | Belt-style collar | kink:gear
binder_(restraint) | Restraint binder | kink:gear
birdcage | Birdcage used as restraint | kink:gear
black_chastity_cage | Black chastity cage | kink:general
black_markings | Black markings on body | kink:body_markings
black_wrist_cuffs | Black wrist cuffs | kink:general
blue_markings | Blue markings on body | kink:body_markings
blue_wrist_cuffs | Blue wrist cuffs | kink:general
body_inflation | Full-body inflation | kink:inflation
body_markings | Markings across the body | kink:body_markings
body_part_growth | Specific body part growing larger | kink:size
body_size_growth | Overall body size growing | kink:size
body_switch | Body swap | kink:transformation
bondage_furniture | Furniture designed for bondage | kink:gear
bondage_gear | Bondage equipment | kink:gear
bondage_outfit | Outfit designed for bondage | kink:gear
brainwashing | Mental conditioning / brainwashing | kink:theme
breast_growth | Breast size expansion | kink:size
breast_implants | Surgical breast implants | kink:body_fetish
breast_size_difference | Breast size difference | kink:general
broken_condom | Broken condom | kink:gear
butt_expansion | Butt expansion | kink:general
butt_size_difference | Butt size difference | kink:general
buttoned_cuffs | Buttoned cuffs | kink:general
catch_condom | Catch condom | kink:gear
chastity_cage_only | Chastity cage only | kink:general
cleave_gag | Cleave gag | kink:general
cobondage | Cobondage | kink:general
cock_transformation | Cock transformation | kink:general
condom_packet_strip | Condom packet strip | kink:power
condom_wrapper | Condom wrapper | kink:power
consentacles | Consensual tentacle scene | kink:theme
corruption_of_champions | Corruption of champions | kink:general
costume_switch | Costume swap between characters | kink:clothing
crossdressing_(mtf) | Crossdressing (mtf) | kink:general
cuff_(restraint) | Cuff (restraint) | kink:gear
cursedmarked | Cursed marking on body | kink:body_markings
domestic_pet | Domestic pet roleplay | kink:roleplay
dominant_gynomorph | Dominant gynomorph | kink:power
dominant_young | Dominant young character | kink:power
dominatrix | Dominatrix role | kink:power
drugged | Drugged character | kink:taboo
expansion | Expansion | kink:general
extreme_size_difference | Extreme size difference | kink:general
fart_fetish | Fart fetish | kink:theme
female_dominating_male | Female dominating male | kink:power
filled_condom | Filled condom | kink:gear
finger_fetish | Finger fetish | kink:theme
fingerless_gloves_(marking) | Fingerless gloves (marking) | kink:body_markings
fire_emblem_engage | Fire emblem engage | kink:general
flat_chastity_cage | Flat chastity cage | kink:general
food_fetish | Food fetish | kink:theme
forced_exposure | Forced exposure | kink:taboo
forced_partners | Forced pairing | kink:power
forced_spreading | Forced spreading | kink:taboo
freedom_planet | Freedom planet | kink:power
frilled_cuffs | Frilled cuffs | kink:general
frilled_wrist_cuffs | Frilled wrist cuffs | kink:general
fti_transformation | Fti transformation | kink:general
ftm_transformation | Ftm transformation | kink:general
fur_cuffs | Fur cuffs | kink:general
fur_growth | Fur growing | kink:transformation
futasub | Futa submissive role | kink:power
genderswap_(mtf) | Genderswap (mtf) | kink:transformation
genderswap_(otf) | Genderswap (otf) | kink:transformation
genital_expansion | Genital expansion | kink:general
genital_growth | Genital size expansion | kink:size
genitals_shrinking | Genital size reduction | kink:size
gentle_femdom | Gentle femdom | kink:general
gloves_(marking) | Gloves (marking) | kink:body_markings
gold_chastity_cage | Gold chastity cage | kink:general
goo_transformation | Goo transformation | kink:general
holding_handcuffs | Holding handcuffs | kink:general
horn_growth | Horns growing | kink:transformation
hose_inflation | Hose inflation | kink:general
hypnosis_mic | Hypnosis mic | kink:general
imminent_incest | Imminent incest scene | kink:taboo
implied_incest | Implied incest | kink:taboo
implied_transformation | Implied transformation | kink:general
improvised_gag | Improvised gag | kink:general
inanimate_transformation | Inanimate transformation | kink:general
interspecies_domination | Interspecies domination | kink:general
interspecies_pregnancy | Interspecies pregnancy | kink:theme
kidnapping | Kidnapping scenario | kink:taboo
kingdom_hearts | Kingdom hearts | kink:power
kingdom_hearts_ii | Kingdom hearts ii | kink:power
larger_dom | Larger dom | kink:size
larger_sub | Larger sub | kink:size
leashed_male | Leashed male | kink:gear
leashed_viewer | Viewer being leashed | kink:gear
leather_cuffs | Leather cuffs | kink:general
liquid_inflation | Liquid inflation | kink:general
lolidom | Loli dominant role | kink:power
macro_female | Macro female | kink:size
macro_male | Macro male | kink:size
male_dominating_female | Male dominating female | kink:power
mask_(marking) | Mask (marking) | kink:body_markings
material_growth | Material/body growth | kink:transformation
metal_chastity_cage | Metal chastity cage | kink:general
metal_cuffs | Metal cuffs | kink:general
micro_abuse | Micro abuse | kink:size
micro_calves | Micro calves | kink:size
micro_male | Micro male | kink:size
micro_thighs | Micro thighs | kink:size
mole_(marking) | Mole (marking) | kink:body_markings
mtf_crossgender | Mtf crossgender | kink:transformation
mtf_transformation | Mtf transformation | kink:general
mtg_transformation | Mtg transformation | kink:general
mti_transformation | Mti transformation | kink:general
muzzle_gag | Muzzle gag | kink:general
navel_fetish | Navel fetish | kink:theme
nub_chastity_cage | Nub chastity cage | kink:general
older_dom_younger_sub | Older dom, younger sub pairing | kink:power
oversized_animal | Oversized animal | kink:size
oversized_bottomwear | Oversized bottomwear | kink:size
oversized_food | Oversized food | kink:size
oversized_limbs | Oversized limbs | kink:size
oversized_object | Oversized object | kink:size
oversized_topwear | Oversized topwear | kink:size
penis_expansion | Penis expansion | kink:general
penis_growth | Penis size expansion | kink:size
penis_in_tentacle | Penis in tentacle | kink:general
penis_shrinking | Penis size reduction | kink:size
penis_size_difference | Penis size difference | kink:general
personality_switch | Personality swap | kink:transformation
pink_chastity_cage | Pink chastity cage | kink:general
pink_wrist_cuffs | Pink wrist cuffs | kink:general
pointless_condom | Pointless condom | kink:gear
possession | Spiritual/bodily possession | kink:theme
questionable_consent | Questionable consent scene | kink:taboo
race_fetishism | Race-based fetish | kink:theme
race_fetishism_symbol | Race fetishism symbol | kink:theme
red_ball_gag | Red ball gag | kink:general
red_wrist_cuffs | Red wrist cuffs | kink:general
resized | Resized character | kink:size
ring_(marking) | Ring (marking) | kink:body_markings
rope_bondage | Rope bondage | kink:general
shadow_slave | Shadow slave | kink:general
size_transformation | Size transformation | kink:general
sleeve_cuffs | Sleeve cuffs | kink:general
slim_sub | Slim sub | kink:power
slime_(substance) | Slime (substance) | kink:general
small_chastity_cage | Small chastity cage | kink:general
smalldom | Small dominant role | kink:power
snout_growth | Snout growing | kink:transformation
socks_(marking) | Socks (marking) | kink:body_markings
solid_chastity_cage | Solid chastity cage | kink:general
species_transformation | Species transformation | kink:general
spherical_inflation | Spherical inflation | kink:general
splatoon_2:_octo_expansion | Splatoon 2: octo expansion | kink:general
stated_incest | Stated incest | kink:taboo
stationary_restraints | Stationary restraints | kink:general
substance_intoxication | Intoxicated by substance | kink:taboo
suspension_bondage | Suspension bondage | kink:general
tentacle_creature | Tentacle creature | kink:general
tentacle_ovipositor | Tentacle ovipositor | kink:general
tentacle_pit | Tentacle pit | kink:general
tentaclejob | Tentaclejob | kink:general
tentacles_everywhere | Tentacles everywhere | kink:general
tentacles_on_male | Tentacles on male | kink:general
terra_macro | Terra macro | kink:size
threaded_by_tentacle | Threaded by tentacle | kink:general
tickle_fetish | Tickle fetish | kink:theme
toe_restraints | Toe restraints | kink:general
transformation_sequence | Transformation sequence | kink:general
transformation_through_magic | Transformation through magic | kink:general
trapped | Character trapped | kink:theme
two_doms_one_sub | Two dominants, one submissive | kink:power
two_subs_one_dom | Two submissives, one dominant | kink:power
undersized_animal | Undersized animal | kink:size
unused_condom | Unused condom | kink:gear
unworn_gag | Unworn gag | kink:general
verbal_reaction_to_tf | Verbal reaction to transformation | kink:transformation
water_inflation | Water inflation | kink:general
wearing_chastity_cage | Wearing chastity cage | kink:general
wearing_condom | Wearing condom | kink:gear
white_wrist_cuffs | White wrist cuffs | kink:general
wiffle_gag | Wiffle gag | kink:general
wrapped_condom | Wrapped condom | kink:gear
younger_dom_older_sub | Younger dom, older sub pairing | kink:power


================================================================================
MOVED FROM OTHER FILES - 2026-04-15
================================================================================
# Tags reclassified from other tag databases during 2026-04-15 rewrite.
# Merge into the appropriate sections above when convenient.

animal_sex_toy | Animal-themed sex toy | kink:toy
animal_sexualization | Sexualised non-anthro animal | kink:theme
artificial_vagina | Artificial vagina sex toy | kink:toy
ass_tattoo | Tattoo on buttocks | kink:body_markings
assimilation | Assimilation transformation | kink:transformation
ballbusting | Impact play on testicles | kink:theme
belly_expansion | Belly expansion | kink:general
big_muscles | Big muscles | kink:size
butt_tattoo | Tattoo on buttocks | kink:body_markings
buttplug | Buttplug | kink:general
chicken-wing_tied | Chicken-wing bondage position | kink:gear
crossgender | Crossgender | kink:transformation
feralized | Transformed to feral form | kink:transformation
ftg_crossgender | Ftg crossgender | kink:transformation
fti_crossgender | Fti crossgender | kink:transformation
ftm_crossgender | Ftm crossgender | kink:transformation
furrification | Transformation to furry form | kink:transformation
genderswap | Genderswap | kink:transformation
genderswap_(ftm) | Genderswap (ftm) | kink:transformation
gold_chastity_device | Gold chastity device | kink:gear
holding_dildo | Holding a dildo | kink:toy
huge_ahoge | Huge ahoge | kink:size
huge_areola | Huge areola | kink:size
huge_dildo | Oversized dildo | kink:toy
huge_hips | Huge hips | kink:size
huge_moobs | Huge moobs | kink:size
huge_moon | Huge moon | kink:size
huge_muscles | Huge muscles | kink:size
huge_thighs | Huge thighs | kink:size
huge_weapon | Huge weapon | kink:size
hyper_hips | Hyper hips | kink:size
hyper_thighs | Hyper thighs | kink:size
insectophilia | Insectophilia | kink:theme
jewel_buttplug | Jewel-ended buttplug | kink:toy
larger_ambiguous | Larger ambiguous | kink:size
larger_female | Larger female | kink:size
larger_gynomorph | Larger gynomorph | kink:size
larger_male | Larger male | kink:size
larger_on_top | Larger on top | kink:size
larger_penetrated | Larger penetrated | kink:size
larger_pred | Larger pred | kink:size
latex_thigh_highs | Latex thigh-highs | kink:gear
mta_crossgender | Mta crossgender | kink:transformation
mtg_crossgender | Mtg crossgender | kink:transformation
mti_crossgender | Mti crossgender | kink:transformation
nipple_clamp | Nipple clamp | kink:toy
older_female | Older female | kink:power
older_gynomorph | Older gynomorph | kink:power
older_male | Older male | kink:power
older_on_young | Older on young | kink:power
older_penetrated | Older penetrated | kink:power
penis_humiliation | Penis-focused humiliation | kink:theme
rapid_pregnancy | Accelerated pregnancy | kink:theme
short_bangs | Short bangs | kink:size
short_hair_with_long_locks | Short hair with long locks | kink:size
short_male | Short male | kink:size
short_over_long_sleeves | Short over long sleeves | kink:size
short_playtime | Short playtime | kink:size
short_sleeves | Short sleeves | kink:size
slightly_chubby | Slightly chubby | kink:size
slightly_chubby_female | Slightly chubby female | kink:size
slightly_chubby_gynomorph | Slightly chubby gynomorph | kink:size
slightly_chubby_male | Slightly chubby male | kink:size
small_but_hung | Small but hung | kink:size
small_head | Small head | kink:size
small_molosser | Small molosser | kink:size
small_pupils | Small pupils | kink:size
small_sweatdrop | Small sweatdrop | kink:size
small_top_big_bottom | Small top big bottom | kink:size
small_waist | Small waist | kink:size
smaller_ambiguous | Smaller ambiguous | kink:size
smaller_female | Smaller female | kink:size
smaller_gynomorph | Smaller gynomorph | kink:size
smaller_male | Smaller male | kink:size
smaller_on_top | Smaller on top | kink:size
smaller_penetrated | Smaller penetrated | kink:size
smaller_pred | Smaller pred | kink:size
smaller_version_at_source | Smaller version at source | kink:size
transparent_dildo | Transparent dildo | kink:toy
unbirthing | Unbirthing (reverse vore) | kink:theme
underage_pregnancy | Underage pregnancy | kink:taboo
unusual_bodily_fluids | Unusual bodily fluids | kink:size
unusual_genital_fluids | Unusual genital fluids | kink:size
unusual_lactation | Unusual lactation | kink:size
unusual_penis_placement | Unusual penis placement | kink:size
unusual_wing_placement | Unusual wing placement | kink:size
vibrator_in_thigh_strap | Vibrator in thigh strap | kink:gear
vibrator_on_nipple | Vibrator on nipple | kink:toy
writing_on_thigh | Writing on thigh | kink:body_markings
younger_female | Younger female | kink:power
younger_male | Younger male | kink:power
younger_penetrated | Younger penetrated | kink:power
